test_view_idx,image_name,psnr_db,ssim,lpips_vgg
0,000001,25.31203842163086,0.8822224140167236,0.17156708240509033
1,000009,25.257673263549805,0.879460871219635,0.16821745038032532
2,000017,24.27524185180664,0.8537544012069702,0.1631925255060196
3,000025,24.9477596282959,0.8460995554924011,0.21447372436523438
4,000033,25.178421020507812,0.8483756184577942,0.1964590847492218
5,000041,25.68724822998047,0.8610206842422485,0.18018291890621185
6,000049,25.805004119873047,0.8731458783149719,0.18430717289447784
7,000057,24.020540237426758,0.8351231813430786,0.19667121767997742
8,000065,23.32655143737793,0.8493767380714417,0.21147388219833374
9,000073,26.02379608154297,0.8970269560813904,0.2044992744922638
10,000081,24.9332275390625,0.8509641885757446,0.23713479936122894
11,000089,24.58012580871582,0.8690347671508789,0.1753559410572052
12,000097,24.037353515625,0.8683624267578125,0.17054422199726105
13,000105,24.986989974975586,0.8795260787010193,0.17649555206298828
14,000113,23.907772064208984,0.8472394943237305,0.18905718624591827
15,000121,22.861783981323242,0.8203822374343872,0.221284881234169
16,000129,24.828174591064453,0.8464929461479187,0.21044383943080902
17,000137,23.88957977294922,0.8401360511779785,0.18555034697055817
18,000145,25.334217071533203,0.8249431252479553,0.2020958662033081
19,000153,23.136531829833984,0.8432775139808655,0.23805955052375793
20,000161,25.58737564086914,0.8675121665000916,0.25213074684143066
21,000169,24.623409271240234,0.8545557856559753,0.20458021759986877
22,000177,26.034255981445312,0.8651886582374573,0.20760272443294525
23,000185,26.062149047851562,0.8599995374679565,0.23841887712478638
24,000193,26.551244735717773,0.8727246522903442,0.2521248459815979
25,000201,25.564716339111328,0.8772085309028625,0.18585464358329773
26,000209,24.111698150634766,0.8629634380340576,0.17994706332683563
27,000217,21.4200382232666,0.7958508133888245,0.24648723006248474
28,000225,23.9292049407959,0.8585830330848694,0.1889810413122177
29,000233,23.233556747436523,0.8339659571647644,0.2261407971382141
30,000241,24.8861026763916,0.8742311000823975,0.1940401941537857
31,000249,24.563199996948242,0.8673872947692871,0.21616055071353912
