test_view_idx,image_name,psnr_db,ssim,lpips_vgg
0,000001,25.185319900512695,0.8830679059028625,0.17052754759788513
1,000009,25.405385971069336,0.881890594959259,0.16731056571006775
2,000017,24.24750328063965,0.8491500616073608,0.16455140709877014
3,000025,25.01247787475586,0.8405561447143555,0.21650773286819458
4,000033,25.041810989379883,0.8479505777359009,0.19839292764663696
5,000041,25.600509643554688,0.8580057621002197,0.1837277114391327
6,000049,25.818689346313477,0.8722835183143616,0.18550802767276764
7,000057,23.86237144470215,0.8299868702888489,0.19834131002426147
8,000065,23.141891479492188,0.8450854420661926,0.21211984753608704
9,000073,26.18252182006836,0.8975419998168945,0.20401623845100403
10,000081,24.862279891967773,0.8501449823379517,0.23777571320533752
11,000089,24.781993865966797,0.8729093670845032,0.1731577217578888
12,000097,24.429134368896484,0.8759227395057678,0.1661607325077057
13,000105,25.109718322753906,0.8813114166259766,0.1744212806224823
14,000113,23.976896286010742,0.8499454855918884,0.18739254772663116
15,000121,22.915294647216797,0.8238633275032043,0.22136089205741882
16,000129,24.914600372314453,0.8491548895835876,0.20860205590724945
17,000137,23.844161987304688,0.8336740136146545,0.1913428008556366
18,000145,25.160322189331055,0.8169347643852234,0.20285385847091675
19,000153,22.81694221496582,0.83876633644104,0.24013768136501312
20,000161,25.567665100097656,0.8664358258247375,0.25259265303611755
21,000169,24.704647064208984,0.8586277961730957,0.20202545821666718
22,000177,25.902292251586914,0.8639539480209351,0.20924371480941772
23,000185,25.992473602294922,0.86020827293396,0.23775339126586914
24,000193,26.2703857421875,0.8716989755630493,0.2525809407234192
25,000201,25.612220764160156,0.8800896406173706,0.18428917229175568
26,000209,23.996685028076172,0.8599215149879456,0.18245965242385864
27,000217,21.326658248901367,0.7935910820960999,0.24708235263824463
28,000225,23.630571365356445,0.8497052192687988,0.19260410964488983
29,000233,23.30633544921875,0.8340553045272827,0.22487546503543854
30,000241,24.902944564819336,0.8744116425514221,0.1942126601934433
31,000249,24.319379806518555,0.8659065365791321,0.2171277403831482
