test_view_idx,image_name,psnr_db,ssim,lpips_vgg
0,000001,25.10564422607422,0.8761693835258484,0.18691082298755646
1,000009,25.11052894592285,0.8746573328971863,0.1817823350429535
2,000017,23.869949340820312,0.8379437327384949,0.18398547172546387
3,000025,24.919940948486328,0.8337146639823914,0.2346740961074829
4,000033,24.810731887817383,0.840786874294281,0.21375632286071777
5,000041,25.3403377532959,0.8499262928962708,0.20015433430671692
6,000049,25.607177734375,0.8645758032798767,0.20207710564136505
7,000057,23.695098876953125,0.8249227404594421,0.20916123688220978
8,000065,22.920284271240234,0.8394262194633484,0.2241642028093338
9,000073,25.535030364990234,0.8903406262397766,0.21644097566604614
10,000081,24.484180450439453,0.8424685597419739,0.24956488609313965
11,000089,24.482357025146484,0.8659806251525879,0.18900738656520844
12,000097,24.015499114990234,0.8662621378898621,0.18415623903274536
13,000105,24.712993621826172,0.8736696243286133,0.1881769299507141
14,000113,23.54802703857422,0.8419579863548279,0.20045696198940277
15,000121,22.607105255126953,0.8181276321411133,0.23371073603630066
16,000129,24.72907829284668,0.8428887724876404,0.2207125574350357
17,000137,23.56543731689453,0.8242605328559875,0.21133849024772644
18,000145,25.019472122192383,0.8078581690788269,0.22049874067306519
19,000153,22.636371612548828,0.8349419832229614,0.25105592608451843
20,000161,25.400962829589844,0.8619446754455566,0.2622007727622986
21,000169,24.57620620727539,0.8526754975318909,0.21697035431861877
22,000177,25.657699584960938,0.8564555048942566,0.2275158315896988
23,000185,25.78609848022461,0.8546754121780396,0.24920062720775604
24,000193,26.220993041992188,0.8652908205986023,0.2655414044857025
25,000201,25.420988082885742,0.8733907341957092,0.19845014810562134
26,000209,23.77724838256836,0.8513940572738647,0.2010013312101364
27,000217,21.13201332092285,0.7868853807449341,0.26412665843963623
28,000225,23.36847686767578,0.8443921804428101,0.2023528516292572
29,000233,23.15912437438965,0.8278948068618774,0.2346283197402954
30,000241,24.8013916015625,0.8701813817024231,0.2054612636566162
31,000249,24.075023651123047,0.8569427728652954,0.2295699417591095
