test_view_idx,image_name,psnr_db,ssim,lpips_vgg
0,000001,13.838025093078613,0.4276200234889984,0.653693675994873
1,000009,13.326577186584473,0.40863171219825745,0.6612294316291809
2,000017,13.114471435546875,0.38794487714767456,0.6630672812461853
3,000025,12.791324615478516,0.49497705698013306,0.6190459728240967
4,000033,12.179533004760742,0.4842693507671356,0.6891690492630005
5,000041,13.867744445800781,0.441939115524292,0.6492215991020203
6,000049,12.658355712890625,0.47313937544822693,0.6430872678756714
7,000057,13.271647453308105,0.4776157736778259,0.6289833784103394
8,000065,12.962626457214355,0.48234426975250244,0.6346216797828674
9,000073,13.693586349487305,0.542380154132843,0.6310049295425415
10,000081,13.819537162780762,0.5400551557540894,0.6074438095092773
11,000089,11.816659927368164,0.48116570711135864,0.6599811911582947
12,000097,11.731891632080078,0.41934269666671753,0.6736857891082764
13,000105,13.528882026672363,0.46793535351753235,0.6163653135299683
14,000113,13.951634407043457,0.4340207278728485,0.6474775075912476
15,000121,13.681289672851562,0.45370033383369446,0.6302793622016907
16,000129,15.0341796875,0.48187094926834106,0.6386449933052063
17,000137,11.893425941467285,0.4078701436519623,0.7833982706069946
18,000145,13.211687088012695,0.4106268584728241,0.6568564176559448
19,000153,12.832393646240234,0.5535935759544373,0.6396710276603699
20,000161,14.603729248046875,0.5863792300224304,0.6102043390274048
21,000169,12.908597946166992,0.48806747794151306,0.6496627330780029
22,000177,14.211935043334961,0.4930582344532013,0.6327499747276306
23,000185,14.193192481994629,0.5017379522323608,0.6292266845703125
24,000193,15.352678298950195,0.5519549250602722,0.610916018486023
25,000201,14.88131332397461,0.4837985634803772,0.6443632245063782
26,000209,14.446858406066895,0.4478774964809418,0.6499277949333191
27,000217,10.012266159057617,0.4174948036670685,0.6894724369049072
28,000225,11.77916145324707,0.45315247774124146,0.6372605562210083
29,000233,12.09333324432373,0.4746980369091034,0.625113844871521
30,000241,12.483207702636719,0.49812471866607666,0.6531266570091248
31,000249,13.624990463256836,0.5027264356613159,0.6285548806190491
