test_view_idx,image_name,psnr_db,ssim,lpips_vgg
0,000001,25.066879272460938,0.8848888874053955,0.16450540721416473
1,000009,24.81094741821289,0.878406822681427,0.15821003913879395
2,000017,23.434207916259766,0.8394402265548706,0.15489253401756287
3,000025,24.54563331604004,0.8471851348876953,0.1940142810344696
4,000033,24.146316528320312,0.831810712814331,0.20323893427848816
5,000041,25.081661224365234,0.8618699908256531,0.16731150448322296
6,000049,24.653194427490234,0.8755027651786804,0.1755754053592682
7,000057,23.041763305664062,0.8059573173522949,0.2100098431110382
8,000065,22.653608322143555,0.8368884325027466,0.22519975900650024
9,000073,24.618614196777344,0.8899617791175842,0.20453514158725739
10,000081,25.155899047851562,0.8545882105827332,0.2411513477563858
11,000089,23.99122428894043,0.8609720468521118,0.17827188968658447
12,000097,22.922237396240234,0.8642842173576355,0.16066241264343262
13,000105,24.415376663208008,0.8831486701965332,0.16854095458984375
14,000113,23.187620162963867,0.838287353515625,0.1877918243408203
15,000121,22.1572322845459,0.8125131130218506,0.22644180059432983
16,000129,23.548686981201172,0.8271923661231995,0.21967175602912903
17,000137,23.9425106048584,0.8581608533859253,0.16437125205993652
18,000145,24.87801742553711,0.8278846740722656,0.19923464953899384
19,000153,22.563961029052734,0.8280633091926575,0.24290746450424194
20,000161,25.268964767456055,0.858992874622345,0.26361018419265747
21,000169,23.36774444580078,0.8533273935317993,0.1903800070285797
22,000177,25.435771942138672,0.8702694773674011,0.19387608766555786
23,000185,24.913471221923828,0.8513853549957275,0.23656868934631348
24,000193,25.70432472229004,0.8651106953620911,0.24975338578224182
25,000201,24.839265823364258,0.8749233484268188,0.18111714720726013
26,000209,23.569334030151367,0.8617203831672668,0.15550461411476135
27,000217,20.914859771728516,0.7881170511245728,0.24784080684185028
28,000225,22.734357833862305,0.8303670287132263,0.2062109261751175
29,000233,22.040695190429688,0.8186230659484863,0.24441398680210114
30,000241,23.73895835876465,0.8577374219894409,0.20098945498466492
31,000249,23.467689514160156,0.8605245351791382,0.22021862864494324
