split,idx,image_name,psnr,l1
test,0,000001,25.083194732666016,0.03262922540307045
test,1,000009,24.815303802490234,0.03471061959862709
test,2,000017,23.441938400268555,0.040731798857450485
test,3,000025,24.548009872436523,0.034884557127952576
test,4,000033,24.198078155517578,0.03511565923690796
test,5,000041,25.084026336669922,0.03549962118268013
test,6,000049,24.66146469116211,0.03923135623335838
test,7,000057,23.05055809020996,0.038995664566755295
test,8,000065,22.654155731201172,0.04148593172430992
test,9,000073,24.61931610107422,0.03369280695915222
test,10,000081,25.157882690429688,0.0315658375620842
test,11,000089,23.99782371520996,0.036088574677705765
test,12,000097,22.92451286315918,0.038993895053863525
test,13,000105,24.425931930541992,0.02948509156703949
test,14,000113,23.192012786865234,0.039094094187021255
test,15,000121,22.159542083740234,0.045544277876615524
test,16,000129,23.560863494873047,0.043659064918756485
test,17,000137,23.94635772705078,0.037864070385694504
test,18,000145,24.878454208374023,0.035255320370197296
test,19,000153,22.593564987182617,0.04483913257718086
test,20,000161,25.27524185180664,0.030660506337881088
test,21,000169,23.372146606445312,0.039354585111141205
test,22,000177,25.437536239624023,0.031071802601218224
test,23,000185,24.914121627807617,0.03386129438877106
test,24,000193,25.71733856201172,0.033999886363744736
test,25,000201,24.840307235717773,0.037812989205121994
test,26,000209,23.58819580078125,0.03928157687187195
test,27,000217,20.94830894470215,0.05462624877691269
test,28,000225,22.738235473632812,0.03917878866195679
test,29,000233,22.046430587768555,0.055277470499277115
test,30,000241,23.7408447265625,0.04012031480669975
test,31,000249,23.467809677124023,0.041163891553878784
train,0,000002,25.38626480102539,0.03086651675403118
train,1,000003,25.244617462158203,0.02985498681664467
train,2,000004,24.4653377532959,0.03329423815011978
train,3,000005,25.791980743408203,0.028630856424570084
train,4,000006,24.870601654052734,0.031962666660547256
train,5,000007,26.051122665405273,0.028907669708132744
train,6,000008,24.810400009155273,0.03380513936281204
train,7,000010,25.491249084472656,0.03144165873527527
train,8,000011,25.779510498046875,0.02942352369427681
train,9,000012,24.528547286987305,0.03475639224052429
train,10,000013,24.86263656616211,0.03518673777580261
train,11,000014,24.34352684020996,0.03655334189534187
train,12,000015,23.981670379638672,0.037095170468091965
train,13,000016,24.039836883544922,0.03725918382406235
train,14,000018,23.971527099609375,0.04076361283659935
train,15,000019,24.167545318603516,0.04097731038928032
train,16,000020,24.44698715209961,0.03928825259208679
train,17,000021,24.984786987304688,0.036736972630023956
train,18,000022,25.73933982849121,0.03315291181206703
train,19,000023,27.28554916381836,0.028033247217535973
train,20,000024,27.613460540771484,0.025411823764443398
train,21,000026,25.89535140991211,0.030261090025305748
train,22,000027,26.338878631591797,0.030579494312405586
train,23,000028,27.54092025756836,0.024099918082356453
train,24,000029,27.153255462646484,0.022748971357941628
train,25,000030,24.810504913330078,0.030523275956511497
train,26,000031,24.848060607910156,0.030646340921521187
train,27,000032,24.27869987487793,0.0340576134622097
train,28,000034,24.240554809570312,0.03381199762225151
train,29,000035,24.01076316833496,0.03473204746842384
train,30,000036,25.04043960571289,0.030742337927222252
train,31,000037,23.13955307006836,0.03512268885970116
train,32,000038,23.745071411132812,0.034498270601034164
train,33,000039,24.774526596069336,0.033006295561790466
train,34,000040,25.90297508239746,0.031725965440273285
train,35,000042,25.393131256103516,0.03412199765443802
train,36,000043,26.107328414916992,0.031084327027201653
train,37,000044,26.211685180664062,0.030951084569096565
train,38,000045,26.280994415283203,0.031696587800979614
train,39,000046,26.082523345947266,0.03205316886305809
train,40,000047,26.947322845458984,0.029582848772406578
train,41,000048,26.17487144470215,0.03152840584516525
train,42,000050,25.330724716186523,0.03015780821442604
train,43,000051,23.181110382080078,0.03465292975306511
train,44,000052,23.123937606811523,0.0361085869371891
train,45,000053,23.190046310424805,0.039109621196985245
train,46,000054,23.484525680541992,0.03858860582113266
train,47,000055,24.67855453491211,0.032625891268253326
train,48,000056,24.21212387084961,0.03580017015337944
train,49,000058,24.35542106628418,0.03350311890244484
train,50,000059,25.10489273071289,0.031561579555273056
train,51,000060,25.725189208984375,0.030545512214303017
train,52,000061,13.552511215209961,0.10843974351882935
train,53,000062,24.81606674194336,0.03632351756095886
train,54,000063,24.28670310974121,0.03887002542614937
train,55,000064,23.838247299194336,0.037174422293901443
train,56,000066,22.98994255065918,0.038518406450748444
train,57,000067,24.25420379638672,0.031567662954330444
train,58,000068,25.675769805908203,0.02872089296579361
train,59,000069,25.99506187438965,0.028108058497309685
train,60,000070,25.013565063476562,0.029564199969172478
