TAG,D_fg,D_bg,quantile,seed,prune_ratio,n_components,n_fragments_lt100,largest_component_ratio,n_boundary_edges,G1_median_abs,G2_ratio_below_1pct,G5_dihedral_abs_mean,n_faces,extract_wallclock_s
base_d10_q0,10,10,0.0,0,,1651,1628,0.9299211198152931,11339,0.004176960093900561,0.9813208275611474,34.66130392209212,331769,351.65666031837463
base_d10_q01,10,10,0.1,0,,2184,2094,0.4230347517040974,38450,0.004049293696880341,0.9773011150727863,33.59158114267131,370284,340.05782175064087
frosting_q0_s0,10,10,0.0,0,,1645,1622,0.9298965840484437,11353,0.004170811967924237,0.9813094724411237,34.65246606220861,331767,351.12499594688416
m1a_q0,10,9,0.0,0,,1478,1456,0.9286129747652417,11033,0.004169186111539602,0.9813548929212181,33.569001856568136,321501,301.71074891090393
m1a_q01,10,9,0.1,0,,1711,1644,0.43967973678226424,27669,0.004050984280183911,0.9773578906729045,32.61761275047434,356207,301.02480840682983
m2largest_q0,10,10,0.0,0,0.5971757451277645,1302,1275,0.9287146473591338,12375,0.004173346096649766,0.9811277905207458,31.131481902531657,307721,303.97651958465576
m2p95_bg9_q0,10,9,0.0,0,0.14213956867703872,1216,1194,0.9393479015577871,11225,0.004069495247676969,0.9760747621102355,32.86528418518208,313971,240.1615514755249
m2p95_m1a_q0,10,10,0.0,0,0.14213956867703872,1435,1414,0.9409798802027338,11344,0.0040712563786655664,0.9762450889105898,34.15518149538293,325550,322.1153042316437
m2p95_q0,10,10,0.0,0,0.14213956867703872,1434,1412,0.9402325824266959,11352,0.004071233794093132,0.9762450889105898,34.153718981546625,325562,321.87381649017334
